mapping_version,source_city,source_file,source_offense_code,source_offense_category,source_offense_description,source_auxiliary,source_severity,canonical_family_code,canonical_offense_family,canonical_subtype_code,canonical_offense_subtype,canonical_domain,canonical_target,is_criminal_event,is_violent,is_property,mapping_confidence,review_required,mapping_note,mapping_action,include_in_model,decision_basis,supporting_incident_rows,supporting_source_mappings,supporting_city_count
crime_canonical_v1_3,chicago,chicago_crime_types.csv,,ARSON,AGGRAVATED,,,F10,arson,F10.01,arson,property,property,True,False,True,high,False,,map,True,existing_v1_1_mapping,,,
crime_canonical_v1_3,chicago,chicago_crime_types.csv,,ARSON,ATTEMPT ARSON,,,F10,arson,F10.01,arson,property,property,True,False,True,high,False,,map,True,existing_v1_1_mapping,,,
crime_canonical_v1_3,chicago,chicago_crime_types.csv,,ARSON,BY EXPLOSIVE,,,F10,arson,F10.01,arson,property,property,True,False,True,high,False,,map,True,existing_v1_1_mapping,,,
crime_canonical_v1_3,chicago,chicago_crime_types.csv,,ARSON,BY FIRE,,,F10,arson,F10.01,arson,property,property,True,False,True,high,False,,map,True,existing_v1_1_mapping,,,
crime_canonical_v1_3,chicago,chicago_crime_types.csv,,ARSON,POS: CHEMICAL/DRY-ICE DEVICE,,,F10,arson,F10.01,arson,property,property,True,False,True,high,False,,map,True,existing_v1_1_mapping,,,
crime_canonical_v1_3,chicago,chicago_crime_types.csv,,ARSON,POS: EXPLOSIVE/INCENDIARY DEV,,,F10,arson,F10.01,arson,property,property,True,False,True,high,False,,map,True,existing_v1_1_mapping,,,
crime_canonical_v1_3,chicago,chicago_crime_types.csv,,ARSON,POSSESSION - CHEMICAL / DRY-ICE DEVICE,,,F10,arson,F10.01,arson,property,property,True,False,True,high,False,,map,True,existing_v1_1_mapping,,,
crime_canonical_v1_3,chicago,chicago_crime_types.csv,,ARSON,POSSESSION - EXPLOSIVE / INCENDIARY DEVICE,,,F10,arson,F10.01,arson,property,property,True,False,True,high,False,,map,True,existing_v1_1_mapping,,,
crime_canonical_v1_3,chicago,chicago_crime_types.csv,,ASSAULT,AGG PO HANDS NO/MIN INJURY,,,F04,assault,F04.02,simple_assault,violent,person,True,True,False,medium,False,,map,True,existing_v1_1_mapping,,,
crime_canonical_v1_3,chicago,chicago_crime_types.csv,,ASSAULT,AGG PRO.EMP: HANDGUN,,,F04,assault,F04.02,simple_assault,violent,person,True,True,False,medium,False,,map,True,existing_v1_1_mapping,,,
crime_canonical_v1_3,chicago,chicago_crime_types.csv,,ASSAULT,AGG PRO.EMP: OTHER DANG WEAPON,,,F15,weapons_offense,F15.01,weapons_violation,society,society,True,False,False,high,False,,map,True,existing_v1_1_mapping,,,
crime_canonical_v1_3,chicago,chicago_crime_types.csv,,ASSAULT,AGG PRO.EMP: OTHER FIREARM,,,F15,weapons_offense,F15.01,weapons_violation,society,society,True,False,False,high,False,,map,True,existing_v1_1_mapping,,,
crime_canonical_v1_3,chicago,chicago_crime_types.csv,,ASSAULT,AGG PRO.EMP:KNIFE/CUTTING INST,,,F04,assault,F04.02,simple_assault,violent,person,True,True,False,medium,False,,map,True,existing_v1_1_mapping,,,
crime_canonical_v1_3,chicago,chicago_crime_types.csv,,ASSAULT,AGGRAVATED - HANDGUN,,,F04,assault,F04.02,simple_assault,violent,person,True,True,False,medium,False,,map,True,existing_v1_1_mapping,,,
crime_canonical_v1_3,chicago,chicago_crime_types.csv,,ASSAULT,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,,,F04,assault,F04.02,simple_assault,violent,person,True,True,False,medium,False,,map,True,existing_v1_1_mapping,,,
crime_canonical_v1_3,chicago,chicago_crime_types.csv,,ASSAULT,AGGRAVATED - OTHER DANGEROUS WEAPON,,,F15,weapons_offense,F15.01,weapons_violation,society,society,True,False,False,high,False,,map,True,existing_v1_1_mapping,,,
crime_canonical_v1_3,chicago,chicago_crime_types.csv,,ASSAULT,AGGRAVATED - OTHER FIREARM,,,F15,weapons_offense,F15.01,weapons_violation,society,society,True,False,False,high,False,,map,True,existing_v1_1_mapping,,,
crime_canonical_v1_3,chicago,chicago_crime_types.csv,,ASSAULT,AGGRAVATED PO: HANDGUN,,,F04,assault,F04.02,simple_assault,violent,person,True,True,False,medium,False,,map,True,existing_v1_1_mapping,,,
crime_canonical_v1_3,chicago,chicago_crime_types.csv,,ASSAULT,AGGRAVATED PO: OTHER DANG WEAP,,,F04,assault,F04.02,simple_assault,violent,person,True,True,False,medium,False,,map,True,existing_v1_1_mapping,,,
crime_canonical_v1_3,chicago,chicago_crime_types.csv,,ASSAULT,AGGRAVATED PO: OTHER FIREARM,,,F15,weapons_offense,F15.01,weapons_violation,society,society,True,False,False,high,False,,map,True,existing_v1_1_mapping,,,
crime_canonical_v1_3,chicago,chicago_crime_types.csv,,ASSAULT,AGGRAVATED PO:KNIFE/CUT INSTR,,,F04,assault,F04.02,simple_assault,violent,person,True,True,False,medium,False,,map,True,existing_v1_1_mapping,,,
crime_canonical_v1_3,chicago,chicago_crime_types.csv,,ASSAULT,AGGRAVATED POLICE OFFICER - HANDGUN,,,F04,assault,F04.02,simple_assault,violent,person,True,True,False,medium,False,,map,True,existing_v1_1_mapping,,,
crime_canonical_v1_3,chicago,chicago_crime_types.csv,,ASSAULT,"AGGRAVATED POLICE OFFICER - HANDS, FISTS, FEET, NO INJURY",,,F04,assault,F04.02,simple_assault,violent,person,True,True,False,medium,False,,map,True,existing_v1_1_mapping,,,
crime_canonical_v1_3,chicago,chicago_crime_types.csv,,ASSAULT,AGGRAVATED POLICE OFFICER - KNIFE / CUTTING INSTRUMENT,,,F04,assault,F04.02,simple_assault,violent,person,True,True,False,medium,False,,map,True,existing_v1_1_mapping,,,
crime_canonical_v1_3,chicago,chicago_crime_types.csv,,ASSAULT,AGGRAVATED POLICE OFFICER - OTHER DANGEROUS WEAPON,,,F15,weapons_offense,F15.01,weapons_violation,society,society,True,False,False,high,False,,map,True,existing_v1_1_mapping,,,
crime_canonical_v1_3,chicago,chicago_crime_types.csv,,ASSAULT,AGGRAVATED POLICE OFFICER - OTHER FIREARM,,,F15,weapons_offense,F15.01,weapons_violation,society,society,True,False,False,high,False,,map,True,existing_v1_1_mapping,,,
crime_canonical_v1_3,chicago,chicago_crime_types.csv,,ASSAULT,AGGRAVATED PROTECTED EMPLOYEE - HANDGUN,,,F04,assault,F04.02,simple_assault,violent,person,True,True,False,medium,False,,map,True,existing_v1_1_mapping,,,
crime_canonical_v1_3,chicago,chicago_crime_types.csv,,ASSAULT,AGGRAVATED PROTECTED EMPLOYEE - KNIFE / CUTTING INSTRUMENT,,,F04,assault,F04.02,simple_assault,violent,person,True,True,False,medium,False,,map,True,existing_v1_1_mapping,,,
